name,plz
Schlitz,36110
Bad Liebenzell,75378
Klötze,38486
Bad Breisig,53498
Bockenem,31167
Großröhrsdorf,01900
Altlandsberg,15345
Brandis,04821
Fürstenau,49584
Bleckede,21354
Visselhövede,27374
Laubach,35321
Osthofen,67574
Ohrdruf,99885
Wilkau-Haßlau,08112
Mittenwalde,15749
Dassel,37586
Osterburg (Altmark),39606
Ilsenburg (Harz),38871
Bad Gandersheim,37581
Kemberg,06901
Luckau,15926
Hemau,93155
Steinbach-Hallenberg,98587
Runkel,65594
Wertingen,86637
Töging a.Inn,84513
Lüchow (Wendland),29439
Hohenmölsen,06679
Bad Bevensen,29549
Storkow (Mark),15859
Höhr-Grenzhausen,56203
Miltenberg,63897
Ichenhausen,89335
Rehau,95111
Eisenberg (Pfalz),67304
Obernkirchen,31683
Heiligenhafen,23774
Werneuchen,16356
Grimmen,18507
Sebnitz,01855
Zwenkau,04442
Lügde,32676
Bad Liebenwerda,04924
Tecklenburg,49545
Nittenau,93149
Wunsiedel,95632
Weißenthurm,56575
Kyritz,16866
Zahna-Elster,06895
Zörbig,06780
Niesky,02906
Freystadt,92342
Elsfleth,26931
Sassnitz,18546
Brand-Erbisdorf,09618
Bad Griesbach i.Rottal,94086
Laufenburg (Baden),79725
Rain,86641
Mendig,56743
Reinfeld (Holstein),23858
Neustadt an der Orla,07806
Kandel,76870
Borgholzhausen,33829
Ochsenhausen,88416
Zwiesel,94227
Elze,31008
Berching,92334
Plön,24306
Wetter (Hessen),35083
Waldheim,04736
Zschopau,09405
Torgelow,17358
Bad Schussenried,88427
Furth im Wald,93437
Breckerfeld,58339
Ortenberg,63683
Auerbach i.d.OPf.,91275
Furtwangen im Schwarzwald,78120
Raguhn-Jeßnitz,06779
Bad Lauchstädt,06246
Hemmoor,21745
Ballenstedt,06493
Neuötting,84524
Bersenbrück,49593
Vallendar,56179
Schleiz,07907
Florstadt,61197
Hallstadt,96103
Volkach,97332
Neuhaus am Rennweg,98724
Naunhof,04683
Rauenberg,69231
Herzberg (Elster),04916
Waldenbuch,71111
Barth,18356
Borgentreich,34434
Doberlug-Kirchhain,03253
Nierstein,55283
Obernburg a.Main,63785
Vohburg a.d.Donau,85088
